时间帧,算法,模式,匹配分数,平滑分数,x坐标,y坐标,目标是否锁定,是否发现目标,累计飞行距离,目标x,目标y
0,模板匹配引导搜索,巡航模式,0.1435,0.1435,102,100,否,否,3.00,600,400
1,模板匹配引导搜索,巡航模式,0.1401,0.1422,105,101,否,否,6.00,600,400
2,模板匹配引导搜索,巡航模式,0.1506,0.1455,108,103,否,否,9.00,600,400
3,模板匹配引导搜索,巡航模式,0.1506,0.1476,110,104,否,否,12.00,600,400
4,模板匹配引导搜索,巡航模式,0.1506,0.1488,112,107,否,否,15.00,600,400
5,模板匹配引导搜索,巡航模式,0.1506,0.1495,114,109,否,否,18.00,600,400
6,模板匹配引导搜索,巡航模式,0.1611,0.1541,115,112,否,否,21.00,600,400
7,模板匹配引导搜索,巡航模式,0.1880,0.1677,115,115,否,否,24.00,600,400
8,模板匹配引导搜索,巡航模式,0.1880,0.1758,115,118,否,否,27.00,600,400
9,模板匹配引导搜索,巡航模式,0.1880,0.1807,115,121,否,否,30.00,600,400
10,模板匹配引导搜索,巡航模式,0.1472,0.1673,114,124,否,否,33.00,600,400
11,模板匹配引导搜索,巡航模式,0.1472,0.1593,112,127,否,否,36.00,600,400
12,模板匹配引导搜索,巡航模式,0.1472,0.1544,110,129,否,否,39.00,600,400
13,模板匹配引导搜索,巡航模式,0.1472,0.1515,108,131,否,否,42.00,600,400
14,模板匹配引导搜索,巡航模式,0.1472,0.1498,105,132,否,否,45.00,600,400
15,模板匹配引导搜索,巡航模式,0.1472,0.1488,103,134,否,否,48.00,600,400
16,模板匹配引导搜索,巡航模式,0.1472,0.1481,100,136,否,否,51.00,600,400
17,模板匹配引导搜索,巡航模式,0.1472,0.1478,98,137,否,否,54.00,600,400
18,模板匹配引导搜索,巡航模式,0.1472,0.1475,95,139,否,否,57.00,600,400
19,模板匹配引导搜索,巡航模式,0.1472,0.1474,93,141,否,否,60.00,600,400
20,模板匹配引导搜索,巡航模式,0.1472,0.1473,90,142,否,否,63.00,600,400
21,模板匹配引导搜索,巡航模式,0.1472,0.1473,88,144,否,否,66.00,600,400
22,模板匹配引导搜索,巡航模式,0.1472,0.1473,85,146,否,否,69.00,600,400
23,模板匹配引导搜索,巡航模式,0.1472,0.1472,83,147,否,否,72.00,600,400
24,模板匹配引导搜索,巡航模式,0.1472,0.1472,80,149,否,否,75.00,600,400
25,模板匹配引导搜索,巡航模式,0.1472,0.1472,78,151,否,否,78.00,600,400
26,模板匹配引导搜索,巡航模式,0.1472,0.1472,75,152,否,否,81.00,600,400
27,模板匹配引导搜索,巡航模式,0.1472,0.1472,73,154,否,否,84.00,600,400
28,模板匹配引导搜索,巡航模式,0.1472,0.1472,70,156,否,否,87.00,600,400
29,模板匹配引导搜索,巡航模式,0.1472,0.1472,68,157,否,否,90.00,600,400
30,模板匹配引导搜索,巡航模式,0.1472,0.1472,66,159,否,否,93.00,600,400
31,模板匹配引导搜索,巡航模式,0.1394,0.1441,64,162,否,否,96.00,600,400
32,模板匹配引导搜索,巡航模式,0.1394,0.1422,63,164,否,否,99.00,600,400
33,模板匹配引导搜索,巡航模式,0.1394,0.1411,62,167,否,否,102.00,600,400
34,模板匹配引导搜索,巡航模式,0.1394,0.1404,61,170,否,否,105.00,600,400
35,模板匹配引导搜索,巡航模式,0.1365,0.1388,61,173,否,否,108.00,600,400
36,模板匹配引导搜索,巡航模式,0.1365,0.1379,61,176,否,否,111.00,600,400
37,模板匹配引导搜索,巡航模式,0.1365,0.1373,61,179,否,否,114.00,600,400
38,模板匹配引导搜索,巡航模式,0.1229,0.1316,60,182,否,否,117.00,600,400
39,模板匹配引导搜索,巡航模式,0.1083,0.1223,60,185,否,否,120.00,600,400
40,模板匹配引导搜索,巡航模式,0.1083,0.1167,60,188,否,否,123.00,600,400
41,模板匹配引导搜索,巡航模式,0.1083,0.1133,59,191,否,否,126.00,600,400
42,模板匹配引导搜索,巡航模式,0.1083,0.1113,59,194,否,否,129.00,600,400
43,模板匹配引导搜索,巡航模式,0.1083,0.1101,59,197,否,否,132.00,600,400
44,模板匹配引导搜索,巡航模式,0.1083,0.1094,58,200,否,否,135.00,600,400
45,模板匹配引导搜索,巡航模式,0.1083,0.1090,58,203,否,否,138.00,600,400
46,模板匹配引导搜索,巡航模式,0.1083,0.1087,58,206,否,否,141.00,600,400
